flex0,flex1,flex2,flex3,flex4
977,1012,1009,997,996
977,1012,1009,997,996
978,1012,1009,997,997
978,1012,1009,997,997
978,1013,1009,997,997
978,1013,1009,998,997
978,1013,1009,998,997
978,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
979,1013,1009,998,998
981,1013,1009,998,998
981,1013,1009,998,998
981,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
982,1013,1009,998,998
983,1013,1009,998,999
983,1013,1009,998,999
983,1013,1009,998,999
983,1013,1009,998,999
984,1013,1009,998,999
985,1013,1009,998,999
986,1013,1009,999,999
988,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
989,1013,1009,999,999
990,1013,1009,999,999
990,1013,1009,1000,999
990,1013,1009,1000,999
990,1014,1009,1000,999
990,1014,1009,1000,1000
990,1014,1009,1000,1000
990,1014,1009,1000,1000
990,1014,1009,1000,1000
991,1014,1009,1000,1000
991,1014,1009,1000,1000
991,1014,1009,1000,1001
991,1014,1009,1000,1001
992,1014,1009,1000,1001
994,1014,1009,1000,1002
994,1014,1009,1000,1002
994,1014,1009,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1002
994,1014,1010,1000,1003
994,1014,1010,1000,1003
994,1014,1010,1001,1003
994,1014,1010,1001,1003
995,1014,1010,1001,1003
995,1014,1010,1001,1004
995,1014,1010,1001,1004
995,1014,1010,1001,1004
995,1014,1010,1001,1004
996,1014,1010,1001,1004
996,1014,1010,1001,1004
996,1014,1010,1001,1004
998,1014,1010,1001,1004
999,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1000,1014,1010,1001,1004
1001,1014,1010,1001,1004
1001,1014,1010,1001,1004
1001,1014,1010,1002,1004
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1010,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1005
1001,1014,1011,1002,1006
1001,1014,1011,1002,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
1002,1014,1011,1003,1006
